date,hostname,metrics,value,ds
2023-11-15,GTI_GU21_UPSA1,max,57698.0,20231115
2023-11-15,GTI_GU21_UPSA1,min,55598.0,20231115
2023-11-15,GTI_GU21_UPSA1,avg,56482.73,20231115
2023-11-15,GTI_GU21_UPSA1,median,56498.0,20231115
2023-11-15,GTI_GU21_UPSA3,max,57499.0,20231115
2023-11-15,GTI_GU21_UPSA3,min,55098.0,20231115
2023-11-15,GTI_GU21_UPSA3,avg,56071.59,20231115
2023-11-15,GTI_GU21_UPSA3,median,56098.0,20231115
2023-11-15,GTI_GU21_UPSB2,max,57398.0,20231115
2023-11-15,GTI_GU21_UPSB2,min,54098.0,20231115
2023-11-15,GTI_GU21_UPSB2,avg,55681.66,20231115
2023-11-15,GTI_GU21_UPSB2,median,55699.0,20231115
2023-11-15,GTI_GU41_UPSB1,max,146000.0,20231115
2023-11-15,GTI_GU41_UPSB1,min,138000.0,20231115
2023-11-15,GTI_GU41_UPSB1,avg,141103.94,20231115
2023-11-15,GTI_GU41_UPSB1,median,141000.0,20231115
2023-11-15,GTI_GU21_UPSA2,max,58199.0,20231115
2023-11-15,GTI_GU21_UPSA2,min,55998.0,20231115
2023-11-15,GTI_GU21_UPSA2,avg,56970.64,20231115
2023-11-15,GTI_GU21_UPSA2,median,56998.0,20231115
2023-11-15,GTI_GU41_UPSB2,max,144000.0,20231115
2023-11-15,GTI_GU41_UPSB2,min,135000.0,20231115
2023-11-15,GTI_GU41_UPSB2,avg,138186.34,20231115
2023-11-15,GTI_GU41_UPSB2,median,138000.0,20231115
2023-11-15,GTI_GU21_UPSB1,max,55498.0,20231115
2023-11-15,GTI_GU21_UPSB1,min,52499.0,20231115
2023-11-15,GTI_GU21_UPSB1,avg,53965.35,20231115
2023-11-15,GTI_GU21_UPSB1,median,53999.0,20231115
2023-11-15,GTI_GU21_UPSB3,max,57999.0,20231115
2023-11-15,GTI_GU21_UPSB3,min,54698.0,20231115
2023-11-15,GTI_GU21_UPSB3,avg,56301.8,20231115
2023-11-15,GTI_GU21_UPSB3,median,56299.0,20231115
2023-11-15,GTI_GU41_UPSA1,max,146000.0,20231115
2023-11-15,GTI_GU41_UPSA1,min,138000.0,20231115
2023-11-15,GTI_GU41_UPSA1,avg,140370.49,20231115
2023-11-15,GTI_GU41_UPSA1,median,140000.0,20231115
2023-11-15,GTI_GU41_UPSA2,max,143000.0,20231115
2023-11-15,GTI_GU41_UPSA2,min,136000.0,20231115
2023-11-15,GTI_GU41_UPSA2,avg,138186.69,20231115
2023-11-15,GTI_GU41_UPSA2,median,138000.0,20231115
2023-05-09,GTI_GU21_UPSA2,max,69999.0,20230509
2023-05-09,GTI_GU21_UPSA2,min,66599.0,20230509
2023-05-09,GTI_GU21_UPSA2,avg,67981.42,20230509
2023-05-09,GTI_GU21_UPSA2,median,67899.0,20230509
2023-05-09,GTI_GU21_UPSA3,max,69099.0,20230509
2023-05-09,GTI_GU21_UPSA3,min,65798.0,20230509
2023-05-09,GTI_GU21_UPSA3,avg,67130.16,20230509
2023-05-09,GTI_GU21_UPSA3,median,67098.0,20230509
2023-05-09,GTI_GU21_UPSB2,max,70499.0,20230509
2023-05-09,GTI_GU21_UPSB2,min,67198.0,20230509
2023-05-09,GTI_GU21_UPSB2,avg,68575.34,20230509
2023-05-09,GTI_GU21_UPSB2,median,68598.0,20230509
2023-05-09,GTI_GU21_UPSA1,max,69599.0,20230509
2023-05-09,GTI_GU21_UPSA1,min,66398.0,20230509
2023-05-09,GTI_GU21_UPSA1,avg,67570.25,20230509
2023-05-09,GTI_GU21_UPSA1,median,67499.0,20230509
2023-05-09,GTI_GU41_UPSA1,max,121000.0,20230509
2023-05-09,GTI_GU41_UPSA1,min,117000.0,20230509
2023-05-09,GTI_GU41_UPSA1,avg,118668.13,20230509
2023-05-09,GTI_GU41_UPSA1,median,119000.0,20230509
2023-05-09,GTI_GU41_UPSA2,max,123000.0,20230509
2023-05-09,GTI_GU41_UPSA2,min,119000.0,20230509
2023-05-09,GTI_GU41_UPSA2,avg,120804.4,20230509
2023-05-09,GTI_GU41_UPSA2,median,121000.0,20230509
2023-05-09,GTI_GU21_UPSB1,max,68398.0,20230509
2023-05-09,GTI_GU21_UPSB1,min,65498.0,20230509
2023-05-09,GTI_GU21_UPSB1,avg,66751.45,20230509
2023-05-09,GTI_GU21_UPSB1,median,66699.0,20230509
2023-05-09,GTI_GU21_UPSB3,max,70799.0,20230509
2023-05-09,GTI_GU21_UPSB3,min,67899.0,20230509
2023-05-09,GTI_GU21_UPSB3,avg,69111.18,20230509
2023-05-09,GTI_GU21_UPSB3,median,69098.0,20230509
2023-05-09,GTI_GU41_UPSB1,max,121000.0,20230509
2023-05-09,GTI_GU41_UPSB1,min,118000.0,20230509
2023-05-09,GTI_GU41_UPSB1,avg,119170.74,20230509
2023-05-09,GTI_GU41_UPSB1,median,119000.0,20230509
2023-05-09,GTI_GU41_UPSB2,max,119000.0,20230509
2023-05-09,GTI_GU41_UPSB2,min,115000.0,20230509
2023-05-09,GTI_GU41_UPSB2,avg,116488.89,20230509
2023-05-09,GTI_GU41_UPSB2,median,117000.0,20230509
2023-01-08,GTI_GU21_UPSA1,max,69598.0,20230108
2023-01-08,GTI_GU21_UPSA1,min,66399.0,20230108
2023-01-08,GTI_GU21_UPSA1,avg,67637.34,20230108
2023-01-08,GTI_GU21_UPSA1,median,67599.0,20230108
2023-01-08,GTI_GU21_UPSA2,max,69899.0,20230108
2023-01-08,GTI_GU21_UPSA2,min,66698.0,20230108
